Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Race and Ethnicity,Other NH,3.4 (2.2 - 4.6),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Race and Ethnicity,White NH,2.8 (2.3 - 3.2),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Region,NYS Excl NYC,3.2 (2.8 - 3.7),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Region,New York City,4.9 (4.1 - 5.7),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Sex,Female,3.7 (3.1 - 4.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Sex,Male,4.2 (3.6 - 4.8),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Total,New York State,3.9 (3.5 - 4.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Race and Ethnicity,Black NH,7.1 (4.8 - 9.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Race and Ethnicity,Hispanic,12.7 (10.3 - 15.0),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Race and Ethnicity,Other NH,4.9 (2.4 - 7.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Race and Ethnicity,White NH,3.9 (3.1 - 4.7),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Region,NYS Excl NYC,4.7 (3.9 - 5.5),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Region,New York City,8.0 (6.6 - 9.5),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Sex,Female,6.2 (5.1 - 7.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Sex,Male,6.0 (4.9 - 7.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2019,Total,New York State,6.1 (5.3 - 6.8),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Race and Ethnicity,Black NH,5.1 (3.2 - 7.0),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Race and Ethnicity,Hispanic,6.1 (4.6 - 7.7),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Race and Ethnicity,Other NH,4.7 (2.8 - 6.6),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Race and Ethnicity,White NH,2.2 (1.7 - 2.7),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Region,NYS Excl NYC,2.7 (2.1 - 3.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Region,New York City,5.0 (4.0 - 6.0),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Sex,Female,3.6 (2.9 - 4.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Sex,Male,3.6 (2.9 - 4.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2020,Total,New York State,3.6 (3.1 - 4.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Race and Ethnicity,Black NH,3.4 (2.0 - 4.8),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Race and Ethnicity,Hispanic,9.4 (6.5 - 12.2),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Race and Ethnicity,Other NH,4.2 (2.2 - 6.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Race and Ethnicity,White NH,2.4 (1.7 - 3.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Region,NYS Excl NYC,3.6 (2.7 - 4.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Region,New York City,4.8 (3.5 - 6.2),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Sex,Female,2.8 (2.1 - 3.6),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Sex,Male,5.1 (3.9 - 6.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2021,Total,New York State,3.9 (3.2 - 4.6),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Race and Ethnicity,Black NH,4.2 (1.8 - 6.5),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Race and Ethnicity,Hispanic,9.8 (6.9 - 12.8),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Race and Ethnicity,Other NH,5.5 (2.8 - 8.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Race and Ethnicity,White NH,2.6 (1.4 - 3.7),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Region,NYS Excl NYC,3.0 (1.9 - 4.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Region,New York City,7.0 (5.4 - 8.7),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Sex,Female,4.3 (3.1 - 5.5),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Sex,Male,4.7 (3.3 - 6.0),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2022,Total,New York State,4.5 (3.6 - 5.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Race and Ethnicity,Black NH,7.4 (4.6 - 10.2),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Race and Ethnicity,Hispanic,15.1 (12.1 - 18.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Race and Ethnicity,Other NH,7.9 (4.7 - 11.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Race and Ethnicity,White NH,2.2 (1.6 - 2.8),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Region,NYS Excl NYC,4.3 (3.3 - 5.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Region,New York City,8.8 (7.2 - 10.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Sex,Female,7.0 (5.6 - 8.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Sex,Male,5.2 (4.0 - 6.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2023,Total,New York State,6.1 (5.2 - 7.0),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Race and Ethnicity,Asian/PI NH,31.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Race and Ethnicity,Black NH,172.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Race and Ethnicity,Hispanic,114.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Race and Ethnicity,White NH,184.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Region,NYS Excl NYC,212.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Region,New York City,130.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Sex,Female,156.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Sex,Male,190.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2016,Total,New York State,173.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Race and Ethnicity,Asian/PI NH,38.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Race and Ethnicity,Black NH,185,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Race and Ethnicity,Hispanic,125.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Race and Ethnicity,White NH,194.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Region,NYS Excl NYC,224.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Region,New York City,146.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Sex,Female,167.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Sex,Male,205.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2017,Total,New York State,186.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Race and Ethnicity,Asian/PI NH,40,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Race and Ethnicity,Black NH,192.7,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Race and Ethnicity,Hispanic,138.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Race and Ethnicity,White NH,185.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Region,NYS Excl NYC,214.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Region,New York City,153.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Sex,Female,166.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Sex,Male,203.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2018,Total,New York State,184.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Race and Ethnicity,Asian/PI NH,36.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Race and Ethnicity,Black NH,203.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Race and Ethnicity,Hispanic,141.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Race and Ethnicity,White NH,176.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Region,NYS Excl NYC,205.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Region,New York City,161,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Sex,Female,164,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Sex,Male,202.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2019,Total,New York State,182.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Race and Ethnicity,Asian/PI NH,28.7,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Race and Ethnicity,Black NH,202.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Race and Ethnicity,Hispanic,137.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Race and Ethnicity,White NH,169.7,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Region,NYS Excl NYC,206.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Region,New York City,143.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Sex,Female,152.7,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Sex,Male,199.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2020,Total,New York State,175.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Race and Ethnicity,Asian/PI NH,37.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Race and Ethnicity,Black NH,227.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Race and Ethnicity,Hispanic,152.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Race and Ethnicity,White NH,177.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Region,NYS Excl NYC,212.7,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Region,New York City,169.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Sex,Female,165.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Sex,Male,220.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2021,Total,New York State,191.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Race and Ethnicity,Asian/PI NH,37.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Race and Ethnicity,Black NH,225.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Race and Ethnicity,Hispanic,155.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Race and Ethnicity,White NH,165,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Region,NYS Excl NYC,201.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Region,New York City,184.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Sex,Female,166.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Sex,Male,219.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, age-adjusted rate per 100,000 population",2022,Total,New York State,192,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Age Group,0-17 years,119.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Age Group,18-24 years,280.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Age Group,25-44 years,227.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Age Group,45-64 years,164.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Age Group,65+ years,101,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Race and Ethnicity,Asian/PI NH,31.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Race and Ethnicity,Black NH,178.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Race and Ethnicity,Hispanic,116,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Race and Ethnicity,White NH,175.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Region,NYS Excl NYC,202.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Region,New York City,133.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Sex,Female,154.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Sex,Male,192.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2016,Total,New York State,173,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Age Group,0-17 years,128.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Age Group,18-24 years,285.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Age Group,25-44 years,249.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Age Group,45-64 years,178.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Age Group,65+ years,111.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Race and Ethnicity,Asian/PI NH,37.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Race and Ethnicity,Black NH,192.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Race and Ethnicity,Hispanic,127.2,Data Source: SPARCS Data as of July 2024
