Component Area,Indicator,Year,County/Region,Numerator,Numerator Label,Rate,Measure Unit,Direction ,Source,
Opioid Data Overview,"ED visits (outpatients) and hospital discharges involving opioid abuse, dependence and unspecified use, crude rate per 100,000 population",2022,NEW YORK CITY,"15,054",Numerator,180.6,Crude rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"ED visits (outpatients) and hospital discharges involving opioid abuse, dependence and unspecified use, crude rate per 100,000 population",2022,Bronx,"4,723",Numerator,341.8,Crude rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"ED visits (outpatients) and hospital discharges involving opioid abuse, dependence and unspecified use, crude rate per 100,000 population",2022,New York,"3,773",Numerator,236.6,Crude rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"ED visits (outpatients) and hospital discharges involving opioid abuse, dependence and unspecified use, crude rate per 100,000 population",2022,Queens,"2,202",Numerator,96.6,Crude rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"Hospital discharges involving opioid use (including abuse, poisoning, dependence and unspecified use), crude rate per 100,000 population",2022,NEW YORK CITY,"6,156",Discharges,73.9,Crude hospital discharge rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"Hospital discharges involving opioid use (including abuse, poisoning, dependence and unspecified use), crude rate per 100,000 population",2022,Bronx,"2,562",Discharges,185.4,Crude hospital discharge rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"Hospital discharges involving opioid use (including abuse, poisoning, dependence and unspecified use), crude rate per 100,000 population",2022,New York,"1,336",Discharges,83.8,Crude hospital discharge rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"Hospital discharges involving opioid use (including abuse, poisoning, dependence and unspecified use), crude rate per 100,000 population",2022,Queens,968,Discharges,42.5,Crude hospital discharge rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"Unique individuals enrolled in OASAS-certified substance use disorder treatment programs who reported any opioid (incl. heroin) as a primary substance, crude rate per 100,000 population - Aged 12+ years",2023,NEW YORK CITY,"34,260",Unique individuals enrolled,477.9,Crude rate,None,OASAS Data as of October 2024, 
Opioid Data Overview,"Unique individuals enrolled in OASAS-certified substance use disorder treatment programs who reported any opioid (incl. heroin) as a primary substance, crude rate per 100,000 population - Aged 12+ years",2023,Bronx,"12,306",Unique individuals enrolled,1076.2,Crude rate,None,OASAS Data as of October 2024, 
Opioid Data Overview,"Unique individuals enrolled in OASAS-certified substance use disorder treatment programs who reported any opioid (incl. heroin) as a primary substance, crude rate per 100,000 population - Aged 12+ years",2023,New York,"7,103",Unique individuals enrolled,489,Crude rate,None,OASAS Data as of October 2024, 
Opioid Data Overview,"Unique individuals enrolled in OASAS-certified substance use disorder treatment programs who reported any opioid (incl. heroin) as a primary substance, crude rate per 100,000 population - Aged 12+ years",2023,Queens,"4,486",Unique individuals enrolled,228.3,Crude rate,None,OASAS Data as of October 2024, 
Opioid Data Overview,"Opioid analgesics prescription, crude rate per 1,000 population",2023,NEW YORK CITY,"1,376,470",Prescriptions,166.7,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,"Opioid analgesics prescription, crude rate per 1,000 population",2023,Bronx,"272,097",Prescriptions,200.6,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,"Opioid analgesics prescription, crude rate per 1,000 population",2023,New York,"280,933",Prescriptions,175.9,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,"Opioid analgesics prescription, crude rate per 1,000 population",2023,Queens,"333,628",Prescriptions,148.1,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,NEW YORK CITY,"75,286",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,14.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,Bronx,"13,224",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,14.6,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,New York,"14,378",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,12.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,Queens,"19,988",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,14.1,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,NEW YORK CITY,"41,953",Number of patients received opioid analgesics >= 90 MME,8.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,Bronx,"8,826",Number of patients received opioid analgesics >= 90 MME,9.8,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,New York,"8,565",Number of patients received opioid analgesics >= 90 MME,7.8,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,Queens,"9,422",Number of patients received opioid analgesics >= 90 MME,7,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,NEW YORK CITY,"45,529",Number of patients with two or more overlapping days,5.8,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,Bronx,"5,972",Number of patients with two or more overlapping days,5,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,New York,"12,429",Number of patients with two or more overlapping days,6.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,Queens,"10,570",Number of patients with two or more overlapping days,5.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,NEW YORK CITY,"15,482",Patients,187.5,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,Bronx,"3,231",Patients,238.2,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,New York,"2,939",Patients,184,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Opioid Data Overview,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,Queens,"2,738",Patients,121.6,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Emergency Medical Services,"Unique naloxone administrations by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,NEW YORK CITY,"13,219",Numerator,7.1,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Emergency Medical Services,"Unique naloxone administrations by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,Bronx,"3,618",Numerator,8.7,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Emergency Medical Services,"Unique naloxone administrations by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,New York,"3,736",Numerator,9,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Emergency Medical Services,"Unique naloxone administrations by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,Queens,"1,977",Numerator,5.1,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Emergency Medical Services,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,NEW YORK CITY,"14,091",Numerator,7.6,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Emergency Medical Services,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,Bronx,"3,559",Numerator,8.6,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Emergency Medical Services,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,New York,"4,133",Numerator,9.9,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Emergency Medical Services,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,Queens,"2,151",Numerator,5.6,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, crude rate per 1,000 population",2023,NEW YORK CITY,"1,376,470",Prescriptions,166.7,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, crude rate per 1,000 population",2023,Bronx,"272,097",Prescriptions,200.6,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, crude rate per 1,000 population",2023,New York,"280,933",Prescriptions,175.9,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, crude rate per 1,000 population",2023,Queens,"333,628",Prescriptions,148.1,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, age-adjusted rate per 1,000 population",2023,NEW YORK CITY,"1,376,470",Prescriptions,142.4,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, age-adjusted rate per 1,000 population",2023,Bronx,"272,097",Prescriptions,182,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, age-adjusted rate per 1,000 population",2023,New York,"280,933",Prescriptions,143.5,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Opioid analgesics prescription, age-adjusted rate per 1,000 population",2023,Queens,"333,628",Prescriptions,121.8,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,NEW YORK CITY,"75,286",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,14.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,Bronx,"13,224",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,14.6,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,New York,"14,378",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,12.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,2023,Queens,"19,988",Number of episodes when patients were opioid naïve and received an opioid prescription of more than seven days,14.1,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,NEW YORK CITY,"41,953",Number of patients received opioid analgesics >= 90 MME,8.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,Bronx,"8,826",Number of patients received opioid analgesics >= 90 MME,9.8,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,New York,"8,565",Number of patients received opioid analgesics >= 90 MME,7.8,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients prescribed one or more opioid analgesics with a total daily dose of 90 MME or more on at least one day,2023,Queens,"9,422",Number of patients received opioid analgesics >= 90 MME,7,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,NEW YORK CITY,"45,529",Number of patients with two or more overlapping days,5.8,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,Bronx,"5,972",Number of patients with two or more overlapping days,5,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,New York,"12,429",Number of patients with two or more overlapping days,6.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2023,Queens,"10,570",Number of patients with two or more overlapping days,5.3,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic prescriptions,2023,NEW YORK CITY,"65,015",Number of patients with two or more overlapping days,12.8,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic prescriptions,2023,Bronx,"13,295",Number of patients with two or more overlapping days,14.7,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic prescriptions,2023,New York,"12,679",Number of patients with two or more overlapping days,11.5,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,Percentage of patients* with two or more calendar days of overlapping opioid analgesic prescriptions,2023,Queens,"15,153",Number of patients with two or more overlapping days,11.2,Percent,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, crude rate per 1,000 population",2023,NEW YORK CITY,"1,467,585",Prescriptions,177.7,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, crude rate per 1,000 population",2023,Bronx,"178,884",Prescriptions,131.9,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, crude rate per 1,000 population",2023,New York,"412,835",Prescriptions,258.4,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, crude rate per 1,000 population",2023,Queens,"335,275",Prescriptions,148.9,Crude rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, age-adjusted rate per 1,000 population",2023,NEW YORK CITY,"1,467,585",Prescriptions,156.7,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, age-adjusted rate per 1,000 population",2023,Bronx,"178,884",Prescriptions,122.1,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, age-adjusted rate per 1,000 population",2023,New York,"412,835",Prescriptions,218.9,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Benzodiazepine prescription, age-adjusted rate per 1,000 population",2023,Queens,"335,275",Prescriptions,125.4,Age-adjusted rate,Lower rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,NEW YORK CITY,"15,482",Patients,187.5,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,Bronx,"3,231",Patients,238.2,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,New York,"2,939",Patients,184,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, crude rate per 100,000 population",2023,Queens,"2,738",Patients,121.6,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, age-adjusted rate per 100,000 population",2023,NEW YORK CITY,"15,482",Patients,177,Age-adjusted rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, age-adjusted rate per 100,000 population",2023,Bronx,"3,231",Patients,232.2,Age-adjusted rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, age-adjusted rate per 100,000 population",2023,New York,"2,939",Patients,165.7,Age-adjusted rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Patients who received at least one buprenorphine prescription for opioid use disorder, age-adjusted rate per 100,000 population",2023,Queens,"2,738",Patients,116.1,Age-adjusted rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Episodes when an opioid-naïve patient received an initial opioid prescription, crude rate per 1,000 population",2023,NEW YORK CITY,"526,633",Episodes,63.8,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Episodes when an opioid-naïve patient received an initial opioid prescription, crude rate per 1,000 population",2023,Bronx,"90,882",Episodes,67,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Episodes when an opioid-naïve patient received an initial opioid prescription, crude rate per 1,000 population",2023,New York,"116,917",Episodes,73.2,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Prescription Monitoring Program,"Episodes when an opioid-naïve patient received an initial opioid prescription, crude rate per 1,000 population",2023,Queens,"141,583",Episodes,62.9,Crude rate,Higher rates/percentages are more desirable,NYS PMP Data as of April 2024, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population",2022,NEW YORK CITY,"2,833",Deaths,34,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population",2022,Bronx,888,Deaths,64.3,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population",2022,New York,510,Deaths,32,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population",2022,Queens,533,Deaths,23.4,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 18-44 years",2022,NEW YORK CITY,"1,092",Deaths,34.1,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 18-44 years",2022,Bronx,299,Deaths,58.5,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 18-44 years",2022,New York,191,Deaths,27.3,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 18-44 years",2022,Queens,248,Deaths,30.5,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 45-64 years",2022,NEW YORK CITY,"1,398",Deaths,68,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 45-64 years",2022,Bronx,479,Deaths,143.6,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 45-64 years",2022,New York,246,Deaths,64.7,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, crude rate per 100,000 population - Aged 45-64 years",2022,Queens,235,Deaths,38.4,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Overdose Deaths,"Overdose deaths involving any drug, age-adjusted rate per 100,000 population",2022,NEW YORK CITY,"2,833",Deaths,31.2,Age-adjusted death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
